time,interArrival,dimmer,servers,response,concept,segment,queue
411.0,110.427653300197,1.0,5.0,0.121200942557369,1,1,0.0
412.0,115.717695156305,1.0,4.0,1.81303803989206,1,1,0.0
413.0,111.14344168553,1.0,5.0,1.94238319103332,1,1,18.0
414.0,112.718675165609,0.75,5.0,0.0404035320582927,1,1,0.0
415.0,104.433333333351,1.0,5.0,0.0928008599346455,1,1,0.0
416.0,109.333333333362,1.0,4.0,0.44437813165782,1,1,0.0
417.0,103.600000000052,1.0,3.0,4.81342006685658,1,1,0.0
418.0,98.0666666667386,1.0,4.0,6.41111757035055,1,1,156.0
419.0,96.7666666667602,1.0,5.0,2.89515546769651,1,1,93.0
420.0,94.4333333333491,0.75,5.0,0.0363005262173903,1,1,0.0
421.0,85.4000000000142,1.0,5.0,0.0495805096596099,1,1,0.0
422.0,85.4000000000541,1.0,4.0,0.100761080180357,1,1,0.0
423.0,87.733333333345,1.0,3.0,1.75719642349714,1,1,0.0
424.0,82.633333333303,1.0,4.0,0.900737236271839,1,1,0.0
425.0,91.0333333334274,1.0,5.0,0.0504849087159351,1,1,0.0
426.0,79.6333333332829,1.0,4.0,0.0624566382315836,1,1,0.0
427.0,79.5000000000345,1.0,3.0,2.31228083810076,1,1,0.0
428.0,88.6333333333274,1.0,4.0,2.07161046207749,1,1,28.0
429.0,88.7666666666193,1.0,5.0,0.12119159680143,1,1,0.0
430.0,89.9333333332944,1.0,4.0,0.137437495616596,1,1,0.0
431.0,92.8666666666141,1.0,3.0,3.98311855116084,1,1,0.0
432.0,96.9666666665891,1.0,4.0,5.8763578215672,1,1,160.0
433.0,89.6666666666667,1.0,5.0,1.28473016651732,1,1,71.0
434.0,85.7666666665723,0.75,5.0,0.0368479704826782,1,1,0.0
435.0,88.8666666666874,1.0,5.0,0.0491486722626745,1,1,0.0
436.0,82.4666666666557,1.0,4.0,0.0887650608760634,1,1,0.0
437.0,85.7000000000314,1.0,3.0,3.94954660096689,1,1,0.0
438.0,95.2666666666159,1.0,4.0,5.84654503070208,1,1,136.0
439.0,94.3088268242509,1.0,5.0,2.19297574909621,1,1,58.0
440.0,86.2454165159402,0.75,5.0,0.0349033182876185,1,1,0.0
441.0,83.4325318841882,1.0,5.0,0.057405724737988,1,1,0.0
442.0,92.0343086505711,1.0,4.0,0.0849052159557054,1,1,0.0
443.0,82.8743674638519,1.0,3.0,0.845455607524109,1,1,0.0
444.0,80.8635567434668,1.0,4.0,0.502554419950715,1,1,0.0
445.0,74.2380186529387,1.0,3.0,1.73287882541918,1,1,0.0
446.0,82.0217383370601,1.0,4.0,0.547451630865326,1,1,0.0
447.0,73.3942187689297,1.0,3.0,0.363281157926464,1,1,0.0
448.0,73.0139215422162,1.0,2.0,5.67119100670232,1,1,0.0
449.0,73.7075903659595,1.0,3.0,8.61866629379452,1,1,264.0
450.0,68.7195035031977,1.0,4.0,4.80058760577258,1,1,155.0
451.0,80.8389165613797,1.0,5.0,0.523530615667953,1,1,0.0
452.0,83.819765955615,1.0,4.0,0.0585657970038251,1,1,0.0
453.0,73.3812493345585,1.0,3.0,0.313825396841049,1,1,0.0
454.0,75.846166260474,1.0,2.0,7.0036091858071,1,1,0.0
455.0,87.618584205036,1.0,3.0,9.98747588417836,1,1,464.0
456.0,92.3239630654223,1.0,4.0,8.19023582060408,1,1,315.0
457.0,93.3115807858449,1.0,5.0,3.4360400681261,1,1,158.0
458.0,87.4004382136619,0.75,5.0,0.0424131921527825,1,1,0.0
459.0,99.6280032534972,1.0,5.0,0.0643070150826983,1,1,0.0
460.0,93.3249122368395,1.0,4.0,0.135242094350516,1,1,0.0
461.0,92.0372362181605,1.0,3.0,4.19129952534736,1,1,0.0
462.0,98.2416980624894,1.0,4.0,6.08333631746023,1,1,114.0
463.0,92.8592715307398,1.0,5.0,1.96645611966172,1,1,16.0
464.0,97.4623623718826,0.75,5.0,0.0411393510115169,1,1,0.0
465.0,99.4682545763671,1.0,5.0,0.0646669900691517,1,1,0.0
466.0,95.7757956415027,1.0,4.0,0.0953450183870427,1,1,0.0
467.0,85.3623600452213,1.0,3.0,0.330869688311162,1,1,0.0
468.0,76.3803241684933,1.0,2.0,7.40114609939943,1,1,0.0
469.0,85.3920458207415,1.0,3.0,10.1894448938899,1,1,409.0
470.0,91.0391224744965,1.0,4.0,7.6427665674629,1,1,302.0
471.0,85.4213834768445,1.0,5.0,2.41534855078595,1,1,90.0
472.0,83.8081881944934,0.75,5.0,0.034969341577728,1,1,0.0
473.0,82.9325345250736,1.0,5.0,0.0546685078044452,1,1,0.0
474.0,87.3278855565163,1.0,4.0,0.088032925504938,1,1,0.0
475.0,86.1563349900736,1.0,3.0,2.30273013002839,1,1,0.0
476.0,84.3440861283653,1.0,4.0,1.24234305104323,1,1,21.0
477.0,91.100997486093,1.0,5.0,0.0850297890517049,1,1,0.0
478.0,98.9054771726362,1.0,4.0,0.31020710184937,1,1,0.0
479.0,100.383442500219,1.0,3.0,4.82625282308945,1,1,0.0
480.0,107.422765838499,1.0,4.0,9.61036099594105,1,1,227.0
481.0,108.839265897031,1.0,5.0,8.20000675447379,1,1,272.0
482.0,112.577330398738,0.75,5.0,3.06286129613571,1,1,135.0
483.0,105.971172698119,0.5,5.0,0.0238111671710747,1,1,0.0
484.0,106.275636308529,0.75,5.0,0.0478492249303746,1,1,0.0
485.0,109.484394912801,1.0,5.0,0.0828673107377344,1,1,0.0
486.0,108.141309652057,1.0,4.0,1.51399212562066,1,1,0.0
487.0,106.4843147498,1.0,5.0,0.436847824521602,1,1,0.0
488.0,102.056537023878,1.0,4.0,1.08126792054136,1,1,0.0
489.0,107.296478117104,1.0,5.0,0.531068943082445,1,1,0.0
490.0,97.8552815297414,1.0,4.0,0.0931897163003621,1,1,0.0
491.0,86.8169302149804,1.0,3.0,1.95028563109992,1,1,0.0
492.0,86.5152192597129,1.0,4.0,1.89314967614401,1,1,14.0
493.0,88.8120682653542,1.0,5.0,0.0534369440112246,1,1,0.0
494.0,88.5845432291205,1.0,4.0,0.108471723105457,1,1,0.0
495.0,89.5208294750444,1.0,3.0,1.48659326859356,1,1,0.0
496.0,88.9463145525291,1.0,4.0,3.43001974869887,1,1,46.0
497.0,94.6739105605223,1.0,5.0,0.359412473388568,1,1,0.0
498.0,88.5798696235086,1.0,4.0,0.107003927848379,1,1,0.0
499.0,90.1208882963204,1.0,3.0,3.4778928602715,1,1,0.0
500.0,90.7618197913559,1.0,4.0,3.1148986040225,1,1,40.0
501.0,85.2917561016768,1.0,5.0,0.0613395353290772,1,1,0.0
502.0,89.9697218993615,1.0,4.0,0.101330853783211,1,1,0.0
503.0,89.1042535111244,1.0,3.0,2.36110810057604,1,1,0.0
504.0,86.1506145356676,1.0,4.0,1.67188367342627,1,1,9.0
505.0,83.7147668167257,1.0,5.0,0.0482216954838971,1,1,0.0
506.0,83.515412258605,1.0,4.0,0.195937820871528,1,1,0.0
507.0,93.6873402987442,1.0,3.0,2.09674552734758,1,1,0.0
508.0,86.1915517434865,1.0,4.0,1.46309706710371,1,1,27.0
509.0,82.6402221309052,1.0,5.0,0.0549358200800781,1,1,0.0
